File Directory,Category,Description,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG
bus-and-cycle-signs,Bus and cycle signs,Route for use by buses and cycles only,Circular,Blue,White,None,Cycle/Motorcycle,Bus,953,953+953.2.jpg
bus-and-cycle-signs,Bus and cycle signs,Route for use by buses and tramcars only,Circular,Blue,White,None,Vehicle (Car/Tram/Truck),None,953.1,953.1V.jpg
bus-and-cycle-signs,Bus and cycle signs,Buses prohibited,Circular,White,Red,None,Bus,None,952,952.jpg
bus-and-cycle-signs,Bus and cycle signs,"Route for use by buses, pedal cycles and taxis only",Circular,Blue,White,None,Cycle/Motorcycle,Bus,953,953.jpg
bus-and-cycle-signs,Bus and cycle signs,With-flow bus lane which pedal cycles and taxis may also use ahead,Rectangular,Blue,White,None,Bus,Cycle/Motorcycle,959,958.jpg
bus-and-cycle-signs,Bus and cycle signs,Appropriate traffic lanes for different manoeuvres at a junction after a break in a bus lane,Rectangular,White,Grey/Black,Bus,Arrow,Arrow,877,877L.jpg
bus-and-cycle-signs,Bus and cycle signs,Contra-flow bus lane which pedal cycles may also use with traffic approaching from the right (reminder for pedestrians),Rectangular,Blue,White,Bus,Bus,Cycle/Motorcycle,963.2,963.2.jpg
bus-and-cycle-signs,Bus and cycle signs,Bus lane with traffic proceeding from both ways  (reminder for pedestrians),Rectangular,Blue,White,Bus,Bus,None,963,963T.jpg
bus-and-cycle-signs,Bus and cycle signs,Bus lane on road at junction ahead,Rectangular,White,Grey/Black,Bus,Bus,Arrow,962,962.jpg
bus-and-cycle-signs,Bus and cycle signs,Contra-flow bus lane,Rectangular,Blue,White,None,Bus,Arrow,960,960.jpg
bus-and-cycle-signs,Bus and cycle signs,End of bus lane,Rectangular,Blue,White,Bus,None,None,964,964.jpg
bus-and-cycle-signs,Bus and cycle signs,Parking place for buses,Rectangular,White,Grey/Black,None,Parking [P],Bus,969,969.jpg
bus-and-cycle-signs,Bus and cycle signs,Stopping place for buses used for carrying tourists to allow passengers to take photographs,Rectangular,Brown,White,Number (Other),Bus,None,972,972.jpg
bus-and-cycle-signs,Bus and cycle signs,Place where buses may stand and the stopping of other vehicles is prohibited during the period indicated,Rectangular,Yellow,Grey/Black,Bus,Other,None,975,975.jpg
bus-and-cycle-signs,Bus and cycle signs,Stopping place for buses,Rectangular,White,Grey/Black,Bus,Bus,None,970,970.jpg
bus-and-cycle-signs,Bus and cycle signs,"Entrance to bus station, depot or garage",Rectangular,Blue,White,Bus,None,None,953.3,953.3.jpg
bus-and-cycle-signs,Bus and cycle signs,"Exemptions for buses, taxis and pedal cycles from restriction or prohibition conveyed by associated sign",Rectangular,White,Grey/Black,Bus,None,None,954.3,954.3.jpg
bus-and-cycle-signs,Bus and cycle signs,Buses excluded from restriction or prohibition conveyed by associated sign,Rectangular,White,Grey/Black,Bus,None,None,954,954.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycles excluded from restriction or prohibition conveyed by associated sign,Rectangular,White,Grey/Black,Cycle,None,None,954.4,954.4.jpg
bus-and-cycle-signs,Bus and cycle signs,Local buses excluded from restriction or prohibition conveyed by associated sign,Rectangular,White,Grey/Black,Bus,None,None,954.2,954.2.jpg
bus-and-cycle-signs,Bus and cycle signs,Stopping by vehicles other than buses prohibited during the period indicated,Rectangular,Yellow,Grey/Black,Bus,Other,None,974,974.jpg
bus-and-cycle-signs,Bus and cycle signs,Contra-flow cycle lane,Rectangular,Blue,White,None,Cycle/Motorcycle,Arrow,960.1,960.1.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycle lane on road at junction ahead or cycle track crossing road,Rectangular,White,Grey/Black,Cycle,Arrow,Cycle/Motorcycle,962.1,962.1.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycle lane with traffic approaching from both ways (pedestrian reminder),Rectangular,Blue,White,Cycle,Cycle/Motorcycle,None,963.1,963.1T.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycle lane with traffic proceeding from left (pedestrian reminder),Rectangular,Blue,White,Cycle,Cycle/Motorcycle,None,963.1,963.1L.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycle lane with traffic proceeding from right (pedestrian reminder),Rectangular,Blue,White,Cycle,Cycle/Motorcycle,None,963.1,963.1.jpg
bus-and-cycle-signs,Bus and cycle signs,Route recommended for pedal cycles on the main carriageway of a road,Rectangular,Blue,White,None,Cycle/Motorcycle,None,967,967.jpg
bus-and-cycle-signs,Bus and cycle signs,"End of cycle lane, track or route",Rectangular,Blue,White,Other,Cycle/Motorcycle,None,965,965.jpg
bus-and-cycle-signs,Bus and cycle signs,With-flow cycle lane,Rectangular,Blue,White,None,Cycle/Motorcycle,None,959.1,959.1.jpg
bus-and-cycle-signs,Bus and cycle signs,With-flow cycle lane ahead,Rectangular,Blue,White,None,Cycle/Motorcycle,None,958.1,958.1.jpg
bus-and-cycle-signs,Bus and cycle signs,Testing of child cyclists ahead,Rectangular,White,Grey/Black,Cycle,None,None,950.1,950.1.jpg
bus-and-cycle-signs,Bus and cycle signs,Training of child cyclists ahead,Rectangular,White,Grey/Black,Cycle,None,None,950.1,950.1VCT.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycle event ahead,Rectangular,White,Grey/Black,Cycle,None,None,950.1,950.1VCE.jpg
bus-and-cycle-signs,Bus and cycle signs,Cycle route ahead warning,Triangular,White,Red,None,Cycle/Motorcycle,None,950,950.jpg
